,time_x,home_team,away_team,1_uni,X_uni,2_uni,b_y_uni,b_n_uni,dc_1x_uni,dc_12_uni,dc_2X_uni,1_888,X_888,2_888,b_y_888,b_n_888,dc_1x_888,dc_12_888,dc_2X_888,time_y,1_365,X_365,2_365,b_y_365,b_n_365,dc_1x_365,dc_12_365,dc_2X_365,1_best,X_best,2_best,b_y_best,b_n_best,dc_1x_best,dc_12_best,dc_2X_best,cum_prob,both_score_cum_prob,double_chance_cum_prob,best_bet,log_time
0,2020-11-28 14:00:00+00:00,Sassuolo,Inter,4500.0,4000.0,1720.0,1420.0,2800.0,2120.0,1250.0,1200.0,4500.0,4000.0,1720.0,1420.0,2800.0,2120.0,1250.0,1200.0,2020-11-28 14:00:00+00:00,4500.0,4200.0,1660.0,1500.0,2500.0,2100.0,1250.0,1180.0,4.5,4.2,1.72,1.5,2.8,2.12,1.25,1.2,1.0417128091546697,1.0238095238095235,2.1050314465408806,1.0238095238095235,2020-11-25 18:46:59.299516
1,2020-11-27 20:00:00+00:00,Crystal Palace,Newcastle,2280.0,3250.0,3550.0,1870.0,1900.0,1320.0,1370.0,1680.0,2200.0,3150.0,3450.0,1870.0,1900.0,1320.0,1370.0,1680.0,2020-11-27 20:00:00+00:00,2150.0,3300.0,3500.0,1950.0,1800.0,1280.0,1330.0,1660.0,2.28,3.3,3.55,1.95,1.9,1.32,1.37,1.68,1.0233169351034437,1.039136302294197,2.0827408601131228,1.0233169351034437,2020-11-25 18:46:59.299516
2,2020-11-28 12:30:00+00:00,Brighton,Liverpool,5800.0,4250.0,1610.0,1660.0,2170.0,2430.0,1240.0,1150.0,5600.0,4100.0,1550.0,1660.0,2170.0,2430.0,1240.0,1150.0,2020-11-28 12:30:00+00:00,5750.0,4000.0,1570.0,1660.0,2100.0,2250.0,1220.0,1140.0,5.8,4.25,1.61,1.66,2.17,2.43,1.24,1.15,1.0288259231728674,1.0632391316417746,2.087539464039386,1.0288259231728674,2020-11-25 18:46:59.299516
3,2020-11-28 15:00:00+00:00,Manchester City,Burnley,1180.0,8000.0,17000.0,2230.0,1630.0,1020.0,1090.0,5400.0,1150.0,8000.0,16000.0,2230.0,1630.0,1020.0,1090.0,5400.0,2020-11-28 15:00:00+00:00,1200.0,7000.0,12000.0,2200.0,1610.0,1050.0,1100.0,4330.0,1.2,8.0,17.0,2.23,1.63,1.05,1.1,5.4,1.017156862745098,1.06192742578888,2.0466570466570464,1.017156862745098,2020-11-25 18:46:59.299516
4,2020-11-28 17:30:00+00:00,Everton,Leeds United,2000.0,3900.0,3800.0,1550.0,2380.0,1290.0,1280.0,1880.0,1920.0,3750.0,3650.0,1550.0,2380.0,1290.0,1280.0,1880.0,2020-11-28 17:30:00+00:00,1900.0,3600.0,3800.0,1570.0,2250.0,1250.0,1280.0,1800.0,2.0,3.9,3.8,1.57,2.38,1.29,1.28,1.88,1.0195681511470984,1.0571107423861263,2.0883586920666337,1.0195681511470984,2020-11-25 18:46:59.299516
5,2020-11-28 20:00:00+00:00,West Bromwich,Sheffield United,2630.0,3250.0,3000.0,1940.0,1830.0,1430.0,1370.0,1530.0,2550.0,3100.0,2880.0,1940.0,1830.0,1430.0,1370.0,1530.0,2020-11-28 20:00:00+00:00,2600.0,3250.0,2700.0,1950.0,1800.0,1440.0,1330.0,1500.0,2.63,3.25,3.0,1.95,1.83,1.44,1.37,1.53,1.0212537779077704,1.0592686002522071,2.0779662229855447,1.0212537779077704,2020-11-25 18:46:59.299516
6,2020-11-29 14:00:00+00:00,Southampton,Manchester United,4000.0,3700.0,2000.0,1660.0,2170.0,1880.0,1300.0,1270.0,3850.0,3550.0,1920.0,1660.0,2170.0,1880.0,1300.0,1270.0,2020-11-29 14:00:00+00:00,3800.0,3400.0,1950.0,1700.0,2040.0,1800.0,1300.0,1250.0,4.0,3.7,2.0,1.7,2.17,1.88,1.3,1.27,1.0202702702702702,1.0490647872052046,2.08854723765094,1.0202702702702702,2020-11-25 18:46:59.299516
7,2020-11-29 16:30:00+00:00,Chelsea,Tottenham,2100.0,3550.0,3750.0,1600.0,2280.0,1300.0,1330.0,1790.0,2040.0,3400.0,3600.0,1600.0,2280.0,1300.0,1330.0,1790.0,2020-11-29 16:30:00+00:00,2040.0,3400.0,3600.0,1610.0,2200.0,1280.0,1300.0,1720.0,2.1,3.55,3.75,1.61,2.28,1.3,1.33,1.79,1.0245472837022132,1.0597145036504303,2.0797696863559842,1.0245472837022132,2020-11-25 18:46:59.299516
8,2020-11-29 19:15:00+00:00,Arsenal,Wolves,2100.0,3350.0,3900.0,1980.0,1790.0,1280.0,1350.0,1790.0,2020.0,3250.0,3800.0,1980.0,1790.0,1280.0,1350.0,1790.0,2020-11-29 19:15:00+00:00,2000.0,3400.0,3750.0,1950.0,1800.0,1250.0,1300.0,1720.0,2.1,3.4,3.9,1.98,1.8,1.28,1.35,1.79,1.0267183796595558,1.0606060606060606,2.0806499586178355,1.0267183796595558,2020-11-25 18:46:59.299516
9,2020-11-30 17:30:00+00:00,Leicester City,Fulham,1540.0,4500.0,6500.0,1840.0,1930.0,1130.0,1220.0,2630.0,1480.0,4350.0,6250.0,1840.0,1930.0,1130.0,1220.0,2630.0,2020-11-30 17:30:00+00:00,1500.0,4200.0,6500.0,1800.0,1950.0,1110.0,1220.0,2500.0,1.54,4.5,6.5,1.84,1.95,1.13,1.22,2.63,1.0254190254190254,1.0562987736900782,2.0848560202420603,1.0254190254190254,2020-11-25 18:46:59.299516
